T,t,kappa,rho_s,xi_norm
0.5,0.7703050349136347,0.994800522530489,0.8394742223549394,0.054041654907388804
0.5168363636262626,0.7625705790030032,0.9948125694612604,0.8338132085671746,0.05440921917107632
0.5336727272525252,0.7548361230923717,0.9948247393524007,0.8281332437001548,0.054783068968377896
0.5505090908787879,0.7471016671817403,0.9948370347383239,0.8224340691423533,0.05516337785827679
0.5673454545050505,0.7393672112711087,0.9948494582326021,0.8167154200344958,0.05555032605470472
0.5841818181313132,0.7316327553604772,0.9948620125312956,0.8109770250515659,0.05594410075464514
0.6010181817575757,0.7238982994498457,0.9948747004164621,0.8052186061748111,0.056344896486084914
0.6178545453838384,0.7161638435392143,0.9948875247598519,0.799439878453186,0.05675291547724186
0.6346909090101011,0.7084293876285828,0.9949004885268055,0.7936405497536175,0.057168368048615345
0.6515272726363637,0.7006949317179513,0.9949135947803648,0.7878203204994458,0.05759147302953761
0.6683636362626263,0.6929604758073198,0.9949268466856119,0.7819788833963391,0.05802245820104694
0.6851999998888889,0.6852260198966883,0.9949402475142528,0.7761159231449396,0.058461560767061486
0.7020363635151515,0.6774915639860568,0.9949538006494593,0.7702311161394384,0.05890902785600502
0.7188727271414141,0.6697571080754253,0.9949675095909916,0.764324130151223,0.05936511705522679
0.7357090907676768,0.6620226521647938,0.9949813779606163,0.7583946239966761,0.059830096980766447
0.7525454543939394,0.6542881962541623,0.9949954095078427,0.7524422471881362,0.0603042478852466
0.7693818180202021,0.6465537403435309,0.9950096081160039,0.7464666395669591,0.060787862306929945
0.7862181816464646,0.6388192844328994,0.9950239778086976,0.7404674309175342,0.061281245763259704
0.8030545452727273,0.6310848285222679,0.9950385227566263,0.734444240561026,0.06178471749251341
0.81989090889899,0.6233503726116364,0.9950532472848536,0.7283966769275126,0.06229861124754496
0.8367272725252526,0.6156159167010049,0.9950681558805176,0.7223243371050901,0.06282327614597233
0.8535636361515152,0.6078814607903734,0.9950832532010297,0.7162268063643971,0.06335907758159247
0.8703999997777778,0.6001470048797419,0.9950985440827996,0.7101036576568871,0.0639063982022771
0.8872363634040404,0.5924125489691104,0.9951140335505257,0.7039544510850462,0.06446563896012797
0.9040727270303031,0.584678093058479,0.9951297268270974,0.6977787333425927,0.06503722024025524
0.9209090906565658,0.5769436371478474,0.9951456293441551,0.6915760371225442,0.06562158307519621
0.9377454542828283,0.569209181237216,0.9951617467533642,0.6853458804908463,0.06621919045272069
0.954581817909091,0.5614747253265844,0.9951780849384613,0.679087766223064,0.06683052872558716
0.9714181815353535,0.553740269415953,0.9951946500281347,0.6728011811014204,0.06745610913272843
0.9882545451616163,0.5460058135053214,0.9952114484098099,0.6664855951692176,0.06809646944237423
1.0050909087878788,0.53827135759469,0.9952284867444243,0.6601404609394217,0.06875217572877292
1.0219272724141415,0.5305369016840584,0.9952457719822642,0.6537652125538858,0.0694238242954766
1.0387636360404042,0.5228024457734269,0.9952633113799696,0.6473592648893712,0.07011204375962087
1.0555999996666667,0.5150679898627955,0.9952811125188066,0.640922012606158,0.07081749731329022
1.0724363632929292,0.5073335339521641,0.9952991833243203,0.6344528291346385,0.07154088517993593
1.089272726919192,0.4995990780415326,0.9953175320875006,0.6279510655948429,0.07228294728594321
1.1061090905454547,0.491864622130901,0.9953361674875967,0.6214160496433458,0.07304446616986196
1.1229454541717172,0.4841301662202696,0.9953550986167424,0.6148470842414525,0.07382627015456775
1.13978181779798,0.476395710309638,0.9953743350065662,0.6082434463379415,0.07462923681075942
1.1566181814242427,0.4686612543990065,0.9953938866569758,0.6016043854589512,0.07545429674378501
1.1734545450505052,0.46092679848837503,0.9954137640673423,0.5949291221968168,0.076302437739897
1.1902909086767677,0.45319234257774366,0.9954339782703231,0.5882168465887953,0.07717470931275006
1.2071272723030304,0.44545788666711206,0.9954545408685954,0.5814667163756303,0.07807222769637684
1.2239636359292931,0.43772343075648057,0.9954754640748104,0.5746778551288074,0.0789961813371265
1.2407999995555556,0.4299889748458491,0.9954967607551075,0.5678493502340878,0.07994783694427342
1.2576363631818182,0.4222545189352177,0.9955184444765826,0.560980250717505,0.08092854616736793
1.2744727268080809,0.4145200630245862,0.9955405295591416,0.55406956489839,0.0819397529781175
1.2913090904343436,0.4067856071139546,0.9955630311322434,0.5471162578521681,0.08298300184589796
1.3081454540606061,0.39905115120332324,0.9955859651970884,0.5401192486635854,0.08405994680920262
1.3249818176868688,0.39131669529269164,0.9956093486948969,0.5330774074486362,0.0851723615608015
1.3418181813131316,0.38358223938206015,0.9956331995820047,0.5259895521207464,0.08632215068254205
1.358654544939394,0.37584778347142866,0.9956575369126102,0.518854444873621,0.08751136218711329
1.3754909085656566,0.3681133275607973,0.9956823809301302,0.511670788349571,0.08874220154936874
1.3923272721919193,0.3603788716501657,0.9957077531682562,0.5044372214579584,0.09001704743976563
1.409163635818182,0.3526444157395342,0.9957336765629805,0.49715231480358857,0.09133846940811817
1.4259999994444446,0.3449099598289027,0.9957601755770485,0.4898145656792656,0.09270924780841018
1.442836363070707,0.33717550391827134,0.99578727633853,0.4824223925702133,0.09413239630639056
1.4596727266969698,0.32944104800763974,0.9958150067954789,0.4749741291104295,0.09561118737299609
1.4765090903232325,0.32170659209700825,0.9958433968889687,0.4674680174221033,0.09714918124070036
1.493345453949495,0.31397213618637676,0.9958724787471979,0.45990220075868815,0.09875025888970271
1.5101818175757578,0.30623768027574527,0.9959022869038114,0.45227471535979563,0.10041865974027647
1.5270181812020203,0.2985032243651138,0.9959328585441622,0.44458348141131404,0.10215902486148463
